Image	Name	Price	State	From	Seller info	Product link
=IMAGE("https://i.ebayimg.com/thumbs/images/g/8VMAAOSw7GplSRBt/s-l300.webp")	Large Michael Jordan Chicago Bulls White NBA Jersey New W/Tag	EUR 46.16	Brand New	from United States	jdw-collectibles (212) 100%	https://www.ebay.com/itm/176192663989
=IMAGE("https://i.ebayimg.com/thumbs/images/g/BWQAAOSwxhdk9M0B/s-l300.webp")	Michael Jordan Mitchell & Ness 98 NBA Finals Black & Gold Jersey Sz XXL 52 New	EUR 124.64	Brand New	from United States	patchman407 (392) 100%	https://www.ebay.com/itm/314811005707
=IMAGE("https://i.ebayimg.com/thumbs/images/g/gSkAAOSwL1JlH1iI/s-l300.webp")	Mitchell & Ness Michael Jordan Bulls 1997-98 NBA FINALS Jersey Men's XL RED	EUR 69.25	Brand New	from United States	sportscardcustoms (45) 97.9%	https://www.ebay.com/itm/355085026873
=IMAGE("https://i.ebayimg.com/thumbs/images/g/Ij0AAOSwjF5lrBZM/s-l300.webp")	Michael Jordan NBA Jersey #23 Size M	EUR 36.92	Brand New	from United States	migrodr-9761 (8) 100%	https://www.ebay.com/itm/386677556956
=IMAGE("https://i.ebayimg.com/thumbs/images/g/tx4AAOSwpnFlQtbQ/s-l300.webp")	Chicago Bulls Michael Jordan Red NBA Allstar game jersey	EUR 50.77	Brand New	from United States	retrozwag (1,130) 98.3%	https://www.ebay.com/itm/225848869627
=IMAGE("https://i.ebayimg.com/thumbs/images/g/vlgAAOSwDM5lQplC/s-l300.webp")	Chicago Bulls Michael Jordan White NBA finals jersey	EUR 50.77	Brand New	from United States	retrozwag (1,130) 98.3%	https://www.ebay.com/itm/225974644086
=IMAGE("https://i.ebayimg.com/thumbs/images/g/~7QAAOSwnSplsyLt/s-l300.webp")	New ListingVintage Michael Jordan Chicago Bulls NBA Basketball Jersey MacGregor Sand-Knit L	EUR 38.78	Pre-Owned	from United States	cartwh86 (1,305) 100%	https://www.ebay.com/itm/145575435894
=IMAGE("https://i.ebayimg.com/thumbs/images/g/NLsAAOSwvlplrNAt/s-l300.webp")	XL Chicago Bulls Michael Jordan #45 Black NBA Jersey Brand New	EUR 64.62	Brand New	from United States	mumenri_25 (183) 100%	https://www.ebay.com/itm/134900405520
=IMAGE("https://i.ebayimg.com/thumbs/images/g/VHsAAOSwxWFlchGG/s-l300.webp")	Michael Jordan 1985 Chicago Bulls Red NBA Jersey Brand New All Sizes!	EUR 73.86	Brand New	from United States	bikeswithdreams13 (415) 98.5%	https://www.ebay.com/itm/204571042888
=IMAGE("https://i.ebayimg.com/thumbs/images/g/MuEAAOSwDDplphnv/s-l300.webp")	Michael Jordan #23 Men''s Red Chicago Bulls Classic Jersey	EUR 41.54	Brand New	from United States	outpostrepublic (229) 95.8%	https://www.ebay.com/itm/256378739980
=IMAGE("https://i.ebayimg.com/thumbs/images/g/Zg8AAOSw8kBlms1E/s-l300.webp")	Retro Chicago Bulls Michael 23# Jordan NBA Baskterball Jersey	EUR 37.85	Brand New	from China	shenqi969 (0) 0%	https://www.ebay.com/itm/134881947406
=IMAGE("https://i.ebayimg.com/thumbs/images/g/SJgAAOSwjERlQpn5/s-l300.webp")	Washington Wizards Michael Jordan White NBA Allstar game jersey	EUR 50.77	Brand New	from United States	retrozwag (1,130) 98.3%	https://www.ebay.com/itm/225935413329
=IMAGE("https://i.ebayimg.com/thumbs/images/g/emQAAOSwxP5llMPM/s-l300.webp")	HWC SWINGMAN CHICAGO BULLS Michael Jordan #23 NBA Finals Mitchell & Ness NEWðŸ”¥	EUR 46.16	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176150131608
=IMAGE("https://i.ebayimg.com/thumbs/images/g/5aQAAOSweQBlmYbV/s-l300.webp")	Mitchell & Ness Michael Jordan Bulls Pin Stripe #23 Men's Medium NBA Jersey	EUR 64.63	Brand New	from United States	reggi4436 (65) 100%	https://www.ebay.com/itm/235375767063
=IMAGE("https://i.ebayimg.com/thumbs/images/g/0DUAAOSwcIJlrXxB/s-l300.webp")	NBA Chicago Bulls #23 Michael Jordan Jersey XL Cool Art Work	EUR 49.86	Brand New	from United States	mnachieve (15,045) 99.1%	https://www.ebay.com/itm/116046292209
=IMAGE("https://i.ebayimg.com/thumbs/images/g/zQIAAOSwYnxllMlc/s-l300.webp")	Mitchell & Ness Chicago Bulls Jordan #23 NBA Finals 1997-98 Jersey Black NEWðŸ”¥	EUR 60.93	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176150164938
=IMAGE("https://i.ebayimg.com/thumbs/images/g/HqYAAOSw48Vln1UN/s-l300.webp")	NEW Mens Washington Wizards Michael Jordan 23 Nike NBA White Jersey Size Lg	EUR 41.55	Brand New	from United States	vexium25 (317) 100%	https://www.ebay.com/itm/404737624540
=IMAGE("https://i.ebayimg.com/thumbs/images/g/O-MAAOSwAMdlBPYW/s-l300.webp")	Mitchell & Ness ðŸ”¥ Michael Jordan ðŸ”¥ Bulls 1997-98 NBA FINALS Jersey M Men's Med	EUR 83.09	Brand New	from United States	bikeswithdreams13 (415) 98.5%	https://www.ebay.com/itm/204602619763
=IMAGE("https://i.ebayimg.com/thumbs/images/g/DwUAAOSw5~VlUTQ0/s-l300.webp")	Mitchell & Ness Chicago Bulls Michael Jordan 1997-98 NBA FINALS Jersey SIZE XL	EUR 72.94	Brand New	from United States	lakyn (2,498) 99.3%	https://www.ebay.com/itm/325884403298
=IMAGE("https://i.ebayimg.com/thumbs/images/g/w-8AAOSwNvBllE5G/s-l300.webp")	Michael Jordan NBA Chicago BULLS #23 Vintage Black and Gold Edition Adult NEWðŸ”¥	EUR 50.77 to EUR 55.39	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176149246198
=IMAGE("https://i.ebayimg.com/thumbs/images/g/TFUAAOSw3dxlc6SD/s-l300.webp")	Michael Jordan 1995-96 Chicago Bulls Team NBA Champion Pro Cut Game Jersey 46	EUR 1,384.97	Brand New	from United States	thememorabilianet (36) 100%	https://www.ebay.com/itm/404748578944
=IMAGE("https://i.ebayimg.com/thumbs/images/g/BjoAAOSwOsdllObZ/s-l300.webp")	Michael Jordan #23 Vintage Mitchell & Ness Jersey CHICAGO BULLS Black Red NEWðŸ”¥	EUR 50.77 to EUR 58.16	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176146060058
=IMAGE("https://i.ebayimg.com/thumbs/images/g/e5UAAOSwPJVlmk~E/s-l300.webp")	Michael Jordan Mitchell & Ness HWC SWINGMAN CHICAGO Bulls #23 Adult White NEWðŸ”¥	EUR 73.86	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176161271237
=IMAGE("https://i.ebayimg.com/thumbs/images/g/j5kAAOSwisdljhXr/s-l300.webp")	Chicago Bulls Medium Michael Jordan 1998 NBA All-Star Jersey New White #23	EUR 64.63	Brand New	from United States	sexy.jut_58 (69) 98.5%	https://www.ebay.com/itm/134869138629
=IMAGE("https://i.ebayimg.com/thumbs/images/g/A00AAOSwjdhlpoNl/s-l300.webp")	Retro Chicago Bulls Michael 23# Jordan Black NBA Baskterball Jersey	EUR 37.85	Brand New	from China	shenqi969 (0) 0%	https://www.ebay.com/itm/134893770427
=IMAGE("https://i.ebayimg.com/thumbs/images/g/mk4AAOSwL0RlS9Iy/s-l300.webp")	New ListingMichael Jordan #23 Chicago Bulls NBA Basketball Champion Jersey XL 13,14 YRS	EUR 17.53	Pre-Owned	from Bulgaria	krisn_shop (25) 93.1%	https://www.ebay.com/itm/404763458591
=IMAGE("https://i.ebayimg.com/thumbs/images/g/ULUAAOSwwZ1lOyEa/s-l300.webp")	VTG NBA Champion Michael Jordan Chicago Bulls Jersey 45 Menâ€™s Size L/XL 48 90s	EUR 83.10	Brand New	from United States	mrmanaois (155) 100%	https://www.ebay.com/itm/225838333353
=IMAGE("https://i.ebayimg.com/thumbs/images/g/~e0AAOSweQFlmYqO/s-l300.webp")	Mitchell & Ness Michael Jordan Bulls Pin Stripe #23 Men's Small NBA Jersey	EUR 64.63	Brand New	from United States	reggi4436 (65) 100%	https://www.ebay.com/itm/235375778777
=IMAGE("https://i.ebayimg.com/thumbs/images/g/TmAAAOSw3WBlfQCq/s-l300.webp")	Michael Jordan NWT Wizards Nike Authentic NBA Blue Stitched Jersey Size 52 XXL	EUR 323.16	Brand New	from United States	deadmans_laundry (129) 100%	https://www.ebay.com/itm/395066633909
=IMAGE("https://i.ebayimg.com/thumbs/images/g/qPwAAOSw8BZkxH5z/s-l300.webp")	100% Authentic Michael Jordan Mitchell Ness 96 97 Flu Game Bulls Jersey 48 XL	EUR 258.53	Brand New	from United States	hardwoodfames (11,274) 100%	https://www.ebay.com/itm/266351398181
=IMAGE("https://i.ebayimg.com/thumbs/images/g/qKQAAOSwSRdlohjS/s-l300.webp")	Michael Jordan Vintage Chicago Bulls NBA Jersey Size Youth Large Stitched 90s	EUR 27.69	Pre-Owned	from United States	chicago_stacking_vintage (109) 100%	https://www.ebay.com/itm/315103793372
=IMAGE("https://i.ebayimg.com/thumbs/images/g/tEoAAOSwtydlrX8I/s-l300.webp")	Michael Jordan NBA Finals Mitchell & Ness Replica Size Med	EUR 18.46		from United States	flyeaglesfly17 (122) 100%	https://www.ebay.com/itm/325977224581
=IMAGE("https://i.ebayimg.com/thumbs/images/g/9DsAAOSw~XRlc4NU/s-l300.webp")	Michael Jordan 1996 NBA All Star Jersey Mitchell & Ness Men 2XL Teal Basketball	EUR 83.05	Brand New	from United States	jersey_salesva (1,061) 98.4%	https://www.ebay.com/itm/285607420541
=IMAGE("https://i.ebayimg.com/thumbs/images/g/PWQAAOSwQN5lmk5B/s-l300.webp")	HWC SWINGMAN CHICAGO Bulls #23 Michael Jordan Mitchell & Ness Adult Black NEWðŸ”¥	EUR 73.86	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176161300300
=IMAGE("https://i.ebayimg.com/thumbs/images/g/hnoAAOSw6KZlbhQJ/s-l300.webp")	Michael Jordan NBA All Star 1989 Jersey XL Worn. Mitchell & Ness.	EUR 46.17	Pre-Owned	from United States	colberryma0 (6) 100%	https://www.ebay.com/itm/145480141226
=IMAGE("https://i.ebayimg.com/thumbs/images/g/t~MAAOSwVBFlrZk3/s-l300.webp")	Vintage Michael Jordan Sand Knit NBA All Star Jersey Size Large	EUR 65.56		from United States	djsai_19 (13) 100%	https://www.ebay.com/itm/395151558903
=IMAGE("https://i.ebayimg.com/thumbs/images/g/naYAAOSwHlBllOXP/s-l300.webp")	Michael Jordan #23 Chicago BULLS Mitchell & Ness Jersey Adult White NEWðŸ”¥	EUR 55.39 to EUR 60.93	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176146000472
=IMAGE("https://i.ebayimg.com/thumbs/images/g/11cAAOSwvFpk5528/s-l300.webp")	100% Authentic Michael Jordan Mitchell Ness 97 98 Finals Bulls Jersey Size 40 M	EUR 290.85	Brand New	from United States	hardwoodfames (11,274) 100%	https://www.ebay.com/itm/266397645214
=IMAGE("https://i.ebayimg.com/thumbs/images/g/ei4AAOSwuLFll-TC/s-l300.webp")	VTG Chicago Bulls Michael Jordan NBA Champion Basketball Jersey 90s Size L Mens	EUR 64.63	Pre-Owned	from Ukraine	vagnar17 (43) 100%	https://www.ebay.com/itm/186141543356
=IMAGE("https://i.ebayimg.com/thumbs/images/g/NwAAAOSw1uBlpsqr/s-l300.webp")	Vintage 2001 Team Nike Chicago Bulls Jordan 23 NBA Mens XL with Tag	EUR 92.29	Brand New	from United States	ijustfl79 (835) 100%	https://www.ebay.com/itm/315100850536
=IMAGE("https://i.ebayimg.com/thumbs/images/g/Ns0AAOSwvchlpGvt/s-l300.webp")	Champion 90s Chicago Bulls Michael Jordan Red Vintage Jersey Youth Large (Cut)	EUR 18.42	Pre-Owned	from United States	desertgypsy17 (3,519) 100%	https://www.ebay.com/itm/225969643584
=IMAGE("https://i.ebayimg.com/thumbs/images/g/5EAAAOSwmVhlowAz/s-l300.webp")	Michael Jordan 1997-98 Chicago Bulls NBA Finals Nike Authentic Jersey Mens 56	EUR 92.33	Pre-Owned	from United States	steves_great_finds (7,927) 100%	https://www.ebay.com/itm/145566020728
=IMAGE("https://i.ebayimg.com/thumbs/images/g/dWAAAOSwrZdln1Iy/s-l300.webp")	NEW Mens Nike Chicago Bulls Michael Jordan #23 NBA White Away Jersey Sz Large	EUR 36.93	Brand New	from United States	vexium25 (317) 100%	https://www.ebay.com/itm/404737610790
=IMAGE("https://i.ebayimg.com/thumbs/images/g/dhwAAOSwwAJllNzX/s-l300.webp")	Michael Jordan #23 NBA Finals Mitchell & Ness CHICAGO BULLS Jersey Red NEWðŸ”¥	EUR 46.16	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176146352267
=IMAGE("https://i.ebayimg.com/thumbs/images/g/RjYAAOSwcPBlo7x4/s-l300.webp")	XL Michael Jordan Chicago Bulls NBA Jersey brand new #23 Black	EUR 62.78	Brand New	from United States	mumenri_25 (183) 100%	https://www.ebay.com/itm/134890940436
=IMAGE("https://i.ebayimg.com/thumbs/images/g/RXcAAOSwyxllhRO1/s-l300.webp")	Vintage Nike Swingman NBA Chicago Bulls Michael Jordan 23 Jersey Mens L, +2 Lgth	EUR 55.40	Pre-Owned	from United States	exo-squad20 (98) 100%	https://www.ebay.com/itm/235354737437
=IMAGE("https://i.ebayimg.com/thumbs/images/g/~eUAAOSwisllg8Ny/s-l300.webp")	Mitchell Ness Michael Jordan Chicago Bulls NBA Finals Authentic Jersey Size 44 L	EUR 207.75	Brand New	from United States	bronbron_2373bv (330) 100%	https://www.ebay.com/itm/116016397194
=IMAGE("https://i.ebayimg.com/thumbs/images/g/pekAAOSwygxlfd56/s-l300.webp")	Size 52 Red Champion NBA Chicago Bulls #23 Michael Jordan Jersey Vintage 90s	EUR 55.40	Pre-Owned	from United States	lastshotjerseys (317) 100%	https://www.ebay.com/itm/166503676896
=IMAGE("https://i.ebayimg.com/thumbs/images/g/3j4AAOSwE-Jlhv9J/s-l300.webp")	NEW!! Michael Jordan Chicago Bulls 50th Anniv. GOLD NBA Champion Jersey Sz 44	EUR 230.82	Brand New	from United States	almcc8226 (49) 100%	https://www.ebay.com/itm/395084277109
=IMAGE("https://i.ebayimg.com/thumbs/images/g/EicAAOSwN9ZlpXae/s-l300.webp")	Vintage Michael Jordan Chicago Bulls #23 NBA Mitchell Ness Jersey Sz 3XL	EUR 36.93	Pre-Owned	from United States	alto-4057 (428) 96.6%	https://www.ebay.com/itm/225970612925
=IMAGE("https://i.ebayimg.com/thumbs/images/g/7MkAAOSwJ3Rlmkhk/s-l300.webp")	Michael Jordan Chicago BULLS #23 Mitchell & Ness Home Road Finals Adult NEWðŸ”¥	EUR 60.93	Brand New	from United States	crownchoicestore (73) 100%	https://www.ebay.com/itm/176147495367
=IMAGE("https://i.ebayimg.com/thumbs/images/g/ChwAAOSw0tBlYnoQ/s-l300.webp")	Vintage Michael Jordan #23 Red Chicago Bulls Champion NBA Jersey Size 44 L	EUR 49.86	Pre-Owned	from United States	tozan-30 (1,446) 99.7%	https://www.ebay.com/itm/355231115390
=IMAGE("https://i.ebayimg.com/thumbs/images/g/u3UAAOSwW~Nkq4ad/s-l300.webp")	Michael Jordan Large 1984 Chicago Bulls NBA jersey brand new #23 (Black)	EUR 64.62	Brand New	from United States	mumenri_25 (183) 100%	https://www.ebay.com/itm/134647364108
=IMAGE("https://i.ebayimg.com/thumbs/images/g/NjYAAOSwRNtlizja/s-l300.webp")	Vintage NBA Basketball Champion Jersey Jordan Bulls 23 White 48	EUR 46.16	Pre-Owned	from United States	603collects (372) 98.2%	https://www.ebay.com/itm/225941789934
=IMAGE("https://i.ebayimg.com/thumbs/images/g/yYEAAOSwkZBlk0Zy/s-l300.webp")	NBA MICHAEL JORDAN CHICAGO BULLS #23 JERSEY_Size S_New with Tags	EUR 36.93	Brand New	from United States	jadler1984 (325) 100%	https://www.ebay.com/itm/296140314903
=IMAGE("https://i.ebayimg.com/thumbs/images/g/0QwAAOSwpxdlIzfk/s-l300.webp")	Nike Team Mens Red Chicago Bulls Michael Jordan 23 Basketball-NBA Jersey 48	EUR 9.22	Pre-Owned	from United States	domniksteals061121 (74) 96.3%	https://www.ebay.com/itm/196199867553
=IMAGE("https://i.ebayimg.com/thumbs/images/g/wrEAAOSwEpllr-bx/s-l300.webp")	Michael Jordan NBA All Stars Jersey Size 40(M) Hardwood Classics	EUR 14.76	Pre-Owned	from United States	monahan421964 (103) 97.7%	https://www.ebay.com/itm/134903698354
=IMAGE("https://i.ebayimg.com/thumbs/images/g/XVYAAOSwv9lk4Lb4/s-l300.webp")	Michael Jordan 97-98 Chicago Bulls NBA Finals Vintage Home Jersey Sz 48 Med Nike	EUR 64.59	Pre-Owned	from United States	uptownvintage (3,640) 99.1%	https://www.ebay.com/itm/276005577205
=IMAGE("https://i.ebayimg.com/thumbs/images/g/BW8AAOSw~pRll2oU/s-l300.webp")	NWT Michael Jordan #23 Chicago Bulls Vintage Champion NBA Jersey Size 48 New!!	EUR 258.53	Pre-Owned	from United States	deportecc (40) 97.4%	https://www.ebay.com/itm/285638842042
